Temperature,Pump_Pressure,Inlet_Pressure,Outlet_Pressure,Flowrate
36.01881,11.258789,4.163818,16.443642,276.859406
35.796906,11.266113,4.179077,16.583679,284.076782
37.099888,11.286621,4.242554,16.470577,286.388275
36.656643,11.285156,4.140015,16.63434,285.184876
35.374783,11.258789,4.217529,16.608812,280.816406
35.723164,11.270508,4.215698,16.638256,278.333099
35.270988,11.228027,4.208984,16.625414,283.057465
36.56934,11.232422,4.433594,16.458557,278.041962
36.158855,11.279297,4.291382,16.660357,283.000549
37.388191,11.277832,4.221191,16.688778,297.024902
36.112129,11.233887,4.005127,16.616989,279.5242
36.214329,11.264648,4.21936,16.566084,280.535431
35.792473,11.251465,4.229736,16.435505,278.468292
36.260521,11.233887,4.178467,16.482264,283.046051
36.542778,11.229492,4.396362,16.466995,281.610077
35.348534,11.230957,4.221191,16.66465,281.810761
37.433064,11.276367,4.234619,16.436268,299.046631
35.707016,11.248535,4.124756,16.519073,275.571014
35.484062,11.232422,4.388428,16.8524,277.479065
36.650452,11.296875,4.042969,16.616493,289.348785
35.74168,11.200195,4.185791,16.479115,283.656647
36.915977,11.271973,4.159546,16.433168,285.044128
36.899548,11.293945,4.138184,16.544722,287.100098
36.505474,11.293945,4.093628,16.363733,286.739899
35.858074,11.267578,4.203491,16.638372,286.437286
35.62035,11.229492,4.211426,16.659924,285.642212
36.53421,11.225098,4.294434,16.457825,282.639038
37.897003,11.29834,4.360352,16.63858,283.669495
36.583965,11.220703,4.230347,16.191969,282.61026
35.740517,11.25293,4.16687,16.52589,280.840637
35.693569,11.239746,4.052734,16.66691,278.754761
35.556553,11.194336,4.165039,16.406313,286.166046
35.371147,11.228027,4.269409,16.649048,279.519562
36.281403,11.235352,4.273682,16.598471,278.839356
35.204491,11.176758,4.195557,16.720188,282.914795
35.885338,11.20459,4.213257,16.631504,288.447296
35.465538,11.230957,4.172363,16.697428,279.380981
36.916069,11.219238,4.180298,16.117401,284.209412
37.478455,11.283691,4.16748,16.681149,295.971314
37.309258,11.263184,4.266357,16.693707,300.832977
36.103958,11.235352,4.043579,16.629641,282.583984
35.41214,11.210449,4.27002,16.57431,285.645905
37.7561,11.293945,4.205322,16.674377,281.005035
35.278992,11.228027,4.211426,16.422369,284.089417
36.811134,11.286621,4.249268,16.645201,284.481201
35.255157,11.232422,4.273682,16.840458,276.540253
36.492905,11.29541,4.139404,16.519531,282.889099
35.761688,11.220703,4.074097,16.633656,281.965881
35.326233,11.232422,4.223022,16.572157,277.140869
35.639004,11.228027,4.16626,16.764116,285.222229
36.522354,11.279297,4.240723,16.473867,286.860107
36.504223,11.280762,4.230957,16.620115,282.777527
36.462158,11.296875,4.241943,16.501593,279.779388
37.211693,11.279297,4.259644,16.680433,279.991882
36.830112,11.289551,4.188232,16.708984,284.575134
37.548813,11.276367,4.265747,16.548426,301.545105
36.56937,11.282227,4.146118,16.623545,283.541168
35.169872,11.238281,4.315796,16.58123,281.75531
35.464375,11.238281,4.204102,16.591108,278.833008
35.122326,11.175293,4.202881,16.660141,281.692932
35.280033,11.228027,4.161377,16.615473,282.420868
35.711216,11.269043,4.203491,16.639103,281.491028
35.529114,11.241211,4.104004,16.516186,274.757904
35.445168,11.230957,4.123535,16.68775,282.673889
37.260876,11.238281,4.178467,16.968895,291.650299
35.499043,11.238281,4.161377,16.670795,276.812195
35.119343,11.175293,4.154053,16.659931,282.419495
37.287472,11.24707,4.179688,16.648533,296.776764
35.803051,11.25,4.020996,16.497335,275.320923
36.300781,11.230957,4.387207,16.713696,277.641205
37.337433,11.24707,4.226685,16.600674,298.348999
37.673271,11.29248,4.154053,16.492367,290.673401
35.300663,11.245605,4.137573,16.524336,274.967682
35.271641,11.179688,4.25415,16.639126,285.68811
37.457672,11.270508,4.155273,16.731691,303.206055
35.033154,11.25,4.238281,16.522694,276.553436
36.563137,11.283691,4.194946,16.622234,286.95636
36.144783,11.229492,3.948364,16.396976,281.15686
